date, pm25, pm10, o3, no2, so2, co
2020/12/17, 61, 44, 12, 21, 2, 6
2020/12/18, 61, 46, 17, 17, 2, 6
2020/12/19, 66, 52, 41, 15, 3, 6
2020/12/20, 90, 61, 45, 18, 3, 6
2020/12/21, 118, 64, 34, 24, 3, 8
2020/12/22, 125, 64, 22, 35, 2, 9
2020/12/23, 122, 49, 21, 23, 1, 9
2020/12/24, 91, 52, 49, 20, 1, 9
2020/12/25, 102, 35, 37, 7, 1, 8
2020/12/26, 58, 57, 86, 29, 2, 9
2020/12/27, 103, 39, 38, 21, 2, 6
2020/12/28, 74, 39, 37, 14, 1, 4
2020/12/29, 80, 61, 39, 13, 1, 8
2020/12/30, 48, 47, 25, 13, 2, 3
2020/12/31, 44, 40, 27, 14, 2, 3
2021/1/1, 51, 40, 41, 19, 2, 3
2021/1/2, 53, 53, 54, 22, 2, 5
2021/1/3, 89, 52, 27, 29, 3, 5
2020/7/1, 17, 5, 20, 2, , 2
2020/7/2, 16, 8, 20, 2, , 2
2020/7/3, 18, 9, 19, 1, , 
2020/7/4, 19, 7, 18, 1, , 
2020/7/5, 18, 5, 18, 1, , 2
2020/7/6, 17, 7, 17, 1, , 2
2020/7/7, 12, 12, 16, 1, , 2
2020/7/8, 18, 15, 19, 1, , 2
2020/7/9, 26, 15, 14, 1, , 2
2020/7/10, 16, 13, 16, 1, , 2
2020/7/11, 20, 7, 15, 1, , 2
2020/7/12, 13, 7, 17, 1, , 2
2020/7/13, 16, 11, 24, 2, , 2
2020/7/14, 21, 10, 20, 2, , 2
2020/7/15, 19, 7, 17, 1, , 2
2020/7/16, 14, 9, 12, 1, , 2
2020/7/17, 19, 4, 10, 1, , 2
2020/7/18, 10, 4, 13, 1, , 3
2020/7/19, 10, 5, 12, 2, , 3
2020/7/20, 13, 7, 18, 4, , 3
2020/7/21, 19, 8, 14, 6, , 3
2020/7/22, 14, 4, 14, 2, , 4
2020/7/23, 10, 6, 17, 2, , 4
2020/7/24, 16, 7, 18, 2, , 4
2020/7/25, 19, 6, 16, 1, , 5
2020/7/26, 19, 7, 13, 1, , 5
2020/7/27, 11, 5, 12, 1, , 5
2020/7/28, 14, 10, 25, 3, , 5
2020/7/29, 20, 11, 19, 5, , 4
2020/7/30, 17, 13, 15, 5, , 3
2020/7/31, 28, 10, 17, 2, , 3
2020/8/1, 9, 6, 18, 3, , 4
2020/8/2, 5, 2, 16, 4, , 4
2020/8/3, 11, 4, 15, 3, , 5
2020/8/4, 17, 5, 12, 3, , 5
2020/8/5, 9, 11, 11, 5, , 5
2020/8/6, 23, 12, 13, 4, , 5
2020/8/7, 23, 11, 12, 4, , 6
2020/8/8, 18, 7, 13, 2, , 6
2020/8/9, 19, 5, 14, 2, , 6
2020/8/10, 14, 5, 12, 2, , 6
2020/8/11, 11, 10, 15, 3, , 7
2020/8/12, 17, 14, 11, 4, , 7
2020/8/13, 14, 11, 12, 2, , 8
2020/8/14, 20, 7, 14, 2, , 8
2020/8/15, 14, 7, 21, 2, , 8
2020/8/16, 26, 11, 10, 4, , 7
2020/8/17, 36, 19, 31, 11, , 7
2020/8/18, 35, 10, 16, 4, , 6
2020/8/19, 52, 9, 17, 5, , 6
2020/8/20, 34, 28, 27, 9, , 6
2020/8/21, 73, 32, 32, 4, , 6
2020/8/22, 76, 15, 24, 4, , 6
2020/8/23, 48, 17, 29, 3, , 6
2020/8/24, 46, 17, 27, 3, , 6
2020/8/25, 33, 18, 21, 3, , 5
2020/8/26, 33, 23, 47, 7, , 6
2020/8/27, 58, 34, 75, 6, , 7
2020/8/28, 79, 31, 67, 6, , 7
2020/8/29, 75, 35, 71, 5, , 7
2020/8/30, 84, 26, 35, 6, , 7
2020/8/31, 61, 30, 73, 7, , 8
2020/9/1, 70, 46, 56, 11, , 9
2020/9/2, 98, 46, 60, 7, , 10
2020/9/3, 97, 20, 36, 4, , 8
2020/9/4, 68, 16, 31, 6, , 9
2020/9/5, 48, 18, 38, 5, , 9
2020/9/6, 53, 8, 16, 5, , 7
2020/9/7, 20, 5, 11, 7, , 6
2020/9/8, 7, 8, 22, 6, , 6
2020/9/9, 21, 9, 20, 3, , 5
2020/9/10, 26, 4, 13, 3, 1, 5
2020/9/11, 13, 14, 36, 8, 1, 5
2020/9/12, 51, 16, 54, 7, 1, 6
2020/9/13, 46, 16, 36, 5, , 6
2020/9/14, 44, 10, 17, 5, , 6
2020/9/15, 22, 8, 12, 3, , 6
2020/9/16, 18, 10, 7, 6, , 6
2020/9/17, 20, 12, 12, 4, , 5
2020/9/18, 17, 10, 11, 3, , 5
2020/9/19, 15, 7, 17, 5, , 5
2020/9/20, 15, 6, 27, 5, , 5
2020/9/21, 16, 20, 33, 3, , 6
2020/9/22, 39, 21, 31, 3, , 6
2020/9/23, 36, 26, 73, 9, , 8
2020/9/24, 61, 32, 54, 11, 1, 9
2020/9/25, 67, 27, 52, 3, , 7
2020/9/26, 55, 24, 40, 2, , 7
2020/9/27, 47, 19, 29, 9, , 7
2020/9/28, 41, 9, 29, 5, , 5
2020/9/29, 30, 7, 37, 6, , 5
2020/9/30, 28, 23, 58, 4, , 4
2020/4/1, 40, 27, 45, 10, , 5
2020/4/2, 47, 14, 39, 10, , 5
2020/4/3, 50, 11, 22, 12, , 5
2020/4/4, 54, 9, 31, 11, , 5
2020/4/5, 30, 10, 36, 12, , 4
2020/4/6, 35, 15, 15, 19, 1, 5
2020/4/7, 45, 24, 44, 17, 1, 4
2020/4/8, 49, 16, 55, 13, 1, 2
2020/4/9, 43, 19, 54, 10, , 3
2020/4/10, 52, 44, 38, 14, , 3
2020/4/11, 66, 17, 49, 9, , 5
2020/4/12, 36, 16, 57, 12, 1, 2
2020/4/13, 49, 18, 52, 17, 1, 3
2020/4/14, 62, 30, 69, 12, 1, 4
2020/4/15, 69, 32, 39, 9, , 3
2020/4/16, 52, 30, 34, 9, , 3
2020/4/17, 56, 34, 27, 8, , 4
2020/4/18, 64, 26, 21, 7, , 4
2020/4/19, 51, 15, 19, 3, , 4
2020/4/20, 25, 12, 19, 4, , 4
2020/4/21, 32, 13, 43, 7, , 4
2020/4/22, 39, 17, 20, 16, , 6
2020/4/23, 36, 27, 19, 14, , 6
2020/4/24, 55, 33, 38, 15, , 5
2020/4/25, 73, 64, 114, 16, 2, 7
2020/4/26, 144, 53, 71, 17, 2, 6
2020/4/27, 109, 35, 55, 13, 1, 4
2020/4/28, 60, 40, 49, 8, , 4
2020/4/29, 63, 36, 49, 7, , 4
2020/4/30, 71, 18, 28, 3, , 4
2020/5/1, 47, 16, 23, 3, , 4
2020/5/2, 41, 17, 24, 2, , 4
2020/5/3, 40, 12, 17, 3, , 4
2020/5/4, 27, 8, 18, 1, , 4
2020/5/5, 17, 9, 17, 2, , 4
2020/5/6, 20, 7, 17, 2, , 4
2020/5/7, 19, 6, 17, 2, , 4
2020/5/8, 15, 6, 15, 2, , 4
2020/5/9, 12, 7, 26, 3, , 4
2020/5/10, 16, 18, 29, 10, , 4
2020/5/11, 47, 31, 92, 9, , 4
2020/5/12, 70, 42, 76, 6, , 5
2020/5/13, 88, 36, 48, 4, , 4
2020/5/14, 65, 23, 27, 3, , 3
2020/5/15, 44, 11, 20, 3, , 2
2020/5/16, 30, 10, 22, 2, , 2
2020/5/17, 19, 11, 38, 5, , 3
2020/5/18, 13, 13, 37, 3, , 3
2020/5/19, 21, 16, 37, 4, , 3
2020/5/20, 32, 16, 24, 2, , 3
2020/5/21, 28, 22, 30, 7, , 4
2020/5/22, 41, 10, 34, 7, , 4
2020/5/23, 33, 11, 39, 5, , 3
2020/5/25, 23, 16, 32, 5, , 2
2020/5/26, 32, 34, 38, 15, , 3
2020/5/27, 70, 39, 36, 14, , 4
2020/5/28, 71, 20, 28, 5, , 3
2020/5/29, 42, 11, 21, 4, , 2
2020/5/30, 17, 12, 18, 1, , 2
2020/5/31, 15, 10, 14, 2, , 3
2020/6/1, 13, 9, 13, 3, , 3
2020/6/2, 11, 10, 18, 2, , 3
2020/6/3, 19, 10, 17, 2, , 3
2020/6/4, 17, 10, 21, 2, , 4
2020/6/5, 16, 9, 22, 3, , 4
2020/6/6, 17, 13, 23, 2, , 3
2020/6/7, 22, 15, 23, 2, , 3
2020/6/8, 27, 15, 20, 2, , 3
2020/6/9, 17, 11, 17, 2, , 3
2020/6/10, 19, 5, 16, 2, , 4
2020/6/11, 13, 6, 19, 3, , 4
2020/6/12, 23, 30, 35, 8, , 4
2020/6/13, 35, 8, 25, 2, , 4
2020/6/14, 18, 10, 20, 2, , 4
2020/6/15, 19, 9, 17, 2, , 3
2020/6/16, 11, 7, 20, 2, , 4
2020/6/17, 19, 7, 19, 1, , 4
2020/6/18, 23, 6, 19, 1, , 4
2020/6/19, 15, 7, 16, 2, , 4
2020/6/20, 10, 7, 8, 1, , 4
2020/6/21, 14, 12, 19, 1, , 4
2020/6/22, 21, 9, 17, 1, , 4
2020/6/23, 16, 12, 20, 1, , 3
2020/6/24, 19, 9, 15, 1, , 3
2020/6/25, 14, 9, 15, 1, , 3
2020/6/26, 14, 6, 17, 1, , 3
2020/6/27, 14, 3, 19, 1, , 3
2020/6/28, 13, 3, 19, 1, , 3
2020/6/29, 11, 3, 17, 2, , 3
2020/6/30, 12, 3, 18, 3, , 3
2020/1/4, 82, , 33, 15, , 2
2020/1/5, 45, , 35, 16, , 2
2020/1/6, 45, , 23, 22, , 2
2020/1/7, 50, , 43, 24, 1, 2
2020/1/8, 49, , 42, 14, 1, 5
2020/1/9, 43, , 40, 15, 1, 2
2020/1/10, 55, , 32, 17, , 3
2020/1/11, 59, 24, 37, 17, 1, 5
2020/1/12, 47, 27, 36, 22, 1, 4
2020/1/13, 58, 31, 42, 13, 1, 3
2020/1/14, 51, 26, 40, 11, , 3
2020/1/15, 56, 22, 33, 12, , 3
2020/1/16, 72, 29, 27, 16, 1, 7
2020/1/17, 42, 33, 27, 19, 1, 9
2020/1/18, 48, 50, 12, 18, 1, 9
2020/1/19, 88, 28, 20, 17, 1, 8
2020/1/20, 65, 41, 36, 18, , 8
2020/1/21, 84, 35, 35, 14, , 6
2020/1/22, 80, 32, 32, 13, , 4
2020/1/23, 71, 23, 29, 11, , 4
2020/1/24, 54, 22, 26, 11, , 5
2020/1/25, 48, 11, 16, 7, , 7
2020/1/26, 35, 10, 24, 6, , 6
2020/1/27, 9, 11, 30, 5, , 5
2020/1/28, 17, 22, 37, 7, 1, 5
2020/1/29, 40, 24, 42, 7, 1, 4
2020/1/30, 57, 27, 40, 8, 1, 4
2020/1/31, 64, 31, 43, 8, 1, 4
2020/2/1, 60, 34, 41, 9, , 4
2020/2/2, 68, 31, 32, 12, , 4
2020/2/3, 64, 18, 20, 8, , 6
2020/2/4, 40, 15, 41, 8, , 6
2020/2/5, 31, 26, 39, 5, , 5
2020/2/6, 45, 30, 30, 8, , 5
2020/2/7, 64, 9, 25, 4, , 5
2020/2/8, 13, 14, 28, 4, , 6
2020/2/9, 24, 25, 20, 6, , 6
2020/2/10, 55, 29, 28, 12, , 6
2020/2/11, 70, 30, 33, 8, , 5
2020/2/12, 69, 9, 20, 12, , 5
2020/2/13, 22, 12, 21, 12, , 5
2020/2/14, 29, 12, 19, 8, , 5
2020/2/15, 23, 7, 18, 5, , 7
2020/2/16, 15, 16, 37, 4, 1, 4
2020/2/17, 16, 19, 32, 7, 1, 3
2020/2/18, 16, 24, 37, 10, 1, 3
2020/2/19, 34, 24, 41, 13, 1, 3
2020/2/20, 36, 22, 37, 10, , 3
2020/2/21, 30, 35, 74, 14, 1, 5
2020/2/22, 68, 33, 46, 6, , 5
2020/2/23, 58, 42, 42, 7, 1, 4
2020/2/24, 62, 38, 34, 12, 1, 3
2020/2/25, 62, 24, 30, 11, 1, 3
2020/2/26, 41, 21, 36, 10, , 3
2020/2/27, 34, 25, 39, 10, 1, 3
2020/2/28, 47, 24, 33, 13, 1, 3
2020/2/29, 50, 23, 34, 7, , 3
2020/3/1, 52, 23, 37, 11, 1, 4
2020/3/2, 48, 18, 41, 5, , 4
2020/3/3, 40, 19, 30, 13, , 4
2020/3/4, 36, 10, 32, 10, , 6
2020/3/5, 15, 27, 40, 6, , 4
2020/3/6, 49, 42, 34, 10, , 4
2020/3/7, 74, 22, 21, 13, , 4
2020/3/8, 49, 13, 23, 7, , 4
2020/3/9, 18, 21, 50, 9, 1, 6
2020/3/10, 29, 25, 42, 9, , 5
2020/3/11, 48, 34, 39, 9, , 5
2020/3/12, 65, 19, 19, 14, , 4
2020/3/13, 66, 8, 52, 10, 1, 6
2020/3/14, 48, 37, 48, 9, 1, 5
2020/3/15, 82, 32, 61, 5, 1, 4
2020/3/16, 64, 37, 46, 11, 1, 4
2020/3/17, 63, 38, 32, 14, , 4
2020/3/18, 67, 23, 15, 23, 1, 4
2020/3/19, 65, 15, 30, 18, 1, 5
2020/3/20, 86, 32, 31, 14, , 4
2020/3/21, 49, 21, 23, 8, , 4
2020/3/22, 42, 18, 22, 7, , 4
2020/3/23, 38, 33, 43, 7, , 4
2020/3/24, 57, 27, 41, 6, , 4
2020/3/25, 52, 29, 27, 10, , 4
2020/3/26, 60, 24, 15, 11, , 4
2020/3/27, 53, 29, 10, 16, , 5
2020/3/28, 60, 17, 35, 6, , 4
2020/3/29, 25, , , , , 
2019/10/1, 60, 42, 65, 4, 1, 8
2019/10/2, 51, 26, 43, 5, , 6
2019/10/3, 57, 23, 35, 4, , 3
2019/10/4, 49, 18, 39, 5, , 3
2019/10/5, 36, 17, 33, 6, , 3
2019/10/6, 29, 22, 33, 4, , 3
2019/10/7, 43, 19, 47, 7, 1, 4
2019/10/8, 55, 18, 52, 7, 4, 7
2019/10/9, 56, 20, 55, 4, , 5
2019/10/10, 39, 36, 80, 8, , 6
2019/10/11, 52, 39, 94, 7, 1, 6
2019/10/12, 61, 22, 72, 5, , 6
2019/10/13, 48, 39, 50, 9, , 8
2019/10/14, 88, 25, 51, 9, 1, 4
2019/10/15, 47, 26, 68, 9, 1, 4
2019/10/16, 37, 31, 43, 9, 1, 4
2019/10/17, 62, 44, 59, 15, 2, 5
2019/10/18, 80, 32, 90, 12, 2, 5
2019/10/19, 67, 25, 88, 8, 1, 5
2019/10/20, 52, 43, 96, 8, 1, 5
2019/10/21, 63, 18, 82, 8, 1, 4
2019/10/22, 34, 15, 63, 8, 1, 2
2019/10/23, 47, 24, 69, 12, 1, 3
2019/10/24, 49, 23, 53, 10, 1, 3
2019/10/25, 48, 24, 61, 8, 1, 2
2019/10/26, 38, 45, 71, 13, 1, 3
2019/10/27, 102, 34, 51, 15, 1, 4
2019/10/28, 63, 26, 54, 18, 1, 3
2019/10/29, 47, 46, 78, 13, 3, 2
2019/10/30, 69, 47, 87, 12, 2, 2
2019/10/31, 62, 31, 66, 16, 1, 1
2019/11/1, 47, 25, 51, 9, 1, 1
2019/11/2, 49, 48, 80, 15, 1, 2
2019/11/3, 73, 52, 90, 14, 3, 2
2019/11/4, 78, 41, 86, 16, 3, 1
2019/11/5, 78, 31, 84, 16, 2, 1
2019/11/6, 52, 66, 86, 21, 2, 1
2019/11/7, 84, 53, 79, 15, 3, 1
2019/11/8, 73, , 80, 16, 1, 1
2019/11/9, 58, , 105, 12, 1, 
2019/11/10, 51, , 71, 16, 1, 4
2019/11/11, 64, , 56, 8, , 2
2019/11/12, 37, , 75, 11, 1, 4
2019/11/13, 68, , 87, 15, 5, 3
2019/11/14, 87, , 65, 13, 1, 3
2019/11/15, 79, , 58, 9, , 1
2019/11/16, 34, , 43, 9, , 2
2019/11/17, 42, , 82, 17, , 6
2019/11/18, 85, , 75, 15, 2, 4
2019/11/19, 57, , 59, 17, 2, 4
2019/11/20, 51, , 80, 21, 2, 2
2019/11/21, 58, , 59, 27, 3, 2
2019/11/22, 81, , 43, 16, 1, 1
2019/11/23, 51, , 42, 16, 1, 2
2019/11/24, 91, , , 17, 1, 4
2019/11/25, 64, , , , , 
2019/7/1, 24, 8, 18, 9, 1, 1
2019/7/2, 15, 10, 23, 5, 44, 3
2019/7/3, 12, 18, 20, 3, , 1
2019/7/4, 23, 16, 20, 3, , 2
2019/7/5, 25, 14, 20, 3, , 1
2019/7/6, 22, 13, 22, 2, , 2
2019/7/7, 22, 17, 22, 2, , 1
2019/7/8, 34, 16, 23, 2, , 1
2019/7/9, 32, 15, 24, 7, , 3
2019/7/10, 28, 17, 25, 4, , 2
2019/7/11, 28, 21, 21, 3, , 1
2019/7/12, 41, 22, 22, 3, , 1
2019/7/13, 46, 10, 23, 2, , 1
2019/7/14, 40, 14, 19, 3, , 1
2019/7/15, 47, 20, 22, 5, , 2
2019/7/16, 37, 37, 64, 10, , 5
2019/7/17, 65, 39, 67, 9, 1, 2
2019/7/18, 71, 32, 28, 9, 1, 4
2019/7/19, 65, 17, 19, 5, , 2
2019/7/20, 36, 17, 16, 6, , 1
2019/7/21, 40, 14, 16, 5, , 1
2019/7/22, 26, 13, 16, 8, , 1
2019/7/23, 29, 13, 18, 3, 10, 4
2019/7/24, 29, 11, 16, 4, , 2
2019/7/25, 19, 13, 16, 3, , 7
2019/7/26, 25, 12, 17, 2, , 3
2019/7/27, 23, 10, 15, 4, , 3
2019/7/28, 23, 6, 12, 6, 4, 4
2019/7/29, 17, 8, 14, 5, 1, 
2019/7/30, 17, 10, 11, 7, , 4
2019/7/31, 12, 13, 20, 4, , 5
2019/8/1, 8, 11, 20, 3, , 4
2019/8/2, 12, 8, 15, 8, , 4
2019/8/3, 9, 18, 20, 10, , 5
2019/8/4, 26, 12, 25, 11, , 5
2019/8/5, 28, 14, 19, 12, 4, 7
2019/8/6, 33, 16, 25, 11, , 4
